"Scenario","n","Bartlett LW","Bartlett sandwich","Exact flat-top","Hard truncation"
"AR(1), rho = 0.4",300,"0.254 (0.094)","0.252 (0.091)","0.221 (0.137)","0.284 (0.185)"
"AR(1), rho = 0.4",600,"0.223 (0.075)","0.223 (0.074)","0.160 (0.100)","0.197 (0.128)"
"AR(1), rho = 0.4",1200,"0.208 (0.063)","0.208 (0.062)","0.120 (0.072)","0.140 (0.090)"
"AR(1), rho = 0.8",300,"0.446 (0.208)","0.432 (0.166)","0.396 (0.341)","0.435 (0.476)"
"AR(1), rho = 0.8",600,"0.342 (0.155)","0.343 (0.153)","0.287 (0.188)","0.312 (0.234)"
"AR(1), rho = 0.8",1200,"0.278 (0.123)","0.281 (0.120)","0.215 (0.136)","0.239 (0.166)"
"Truncated linear, beta = 2.2",300,"0.303 (0.084)","0.301 (0.083)","0.259 (0.114)","0.288 (0.162)"
"Truncated linear, beta = 2.2",600,"0.279 (0.080)","0.278 (0.078)","0.222 (0.101)","0.233 (0.133)"
"Truncated linear, beta = 2.2",1200,"0.259 (0.071)","0.258 (0.072)","0.183 (0.073)","0.177 (0.085)"
